0;1,204069;1,204069
0;4,555941;4,555941
0;5,205895;5,205896
0;4,746997;4,747
0;4,593306;4,593321
0;5,029228;5,029253
0;4,955287;4,955297
0;6,897097;6,897102
1;0;0
0;7,182695;7,182747
1;6,778137;6,778157
0;7,573508;7,573854
1;5,977946;5,977989
0;8,075046;8,076005
1;5,424446;5,424515
0;8,225839;8,225857
1;5,37606;5,376118
0;6,604869;6,604934
1;4,815691;4,815699
0;8,309784;8,310125
1;7,165376;7,165683
0;8,374729;8,375399
1;7,738035;7,738155
2;1,52143;1,52143
0;8,1655;8,165652
1;8,215566;8,215579
2;6,919338;6,919601
0;7,939828;7,939838
1;8,638616;8,639039
2;6,041462;6,04184
0;6,398827;6,398857
1;7,184795;7,185121
2;4,4841;4,484257
0;8,280312;8,280566
1;9,364727;9,364749
2;5,77854;5,778609
0;8,1802;8,180202
1;9,766922;9,768428
2;6,98391;6,983972
0;8,011131;8,011297
1;9,988214;9,989796
2;7,714824;7,715094
0;8,002592;8,00322
1;9,987212;9,987347
2;8,072788;8,072849
3;2,642637;2,642638
0;6,544651;6,544956
1;7,944473;7,944727
2;6,749453;6,750088
3;4,94172;4,94173
0;8,248284;8,248324
1;9,842549;9,843703
2;8,938122;8,940978
3;5,610979;5,611019
0;8,261343;8,261544
1;9,848179;9,848532
2;9,470426;9,470504
3;5,173491;5,173552
0;8,342218;8,342697
1;9,902547;9,902559
2;9,982412;9,98288
3;5,181119;5,18117
0;8,328082;8,328305
1;9,831708;9,832412
2;10,565077;10,566394
3;5,941621;5,941632
0;6,43985;6,439904
1;7,837273;7,837286
2;8,426478;8,426492
3;5,626744;5,62693
0;7,949427;7,949429
1;9,837998;9,838261
2;10,314101;10,314599
3;7,50629;7,506419
4;1,180761;1,180761
0;8,077537;8,077672
1;9,901958;9,902744
2;10,425795;10,427758
3;7,986706;7,986711
4;5,579985;5,58
0;8,403474;8,403507
1;9,870273;9,870484
2;10,684462;10,685056
3;8,361809;8,362118
4;5,150701;5,150712
0;8,393869;8,393949
1;9,476548;9,476597
2;10,709268;10,709297
3;8,458101;8,458692
4;4,862074;4,862075
0;8,360899;8,361183
1;9,55711;9,557242
2;10,655464;10,656646
3;8,537431;8,537443
4;4,926651;4,926664
0;6,628693;6,628985
1;7,907497;7,907709
2;8,550222;8,550333
3;6,933191;6,933526
4;4,393806;4,393837
0;7,658349;7,659564
1;9,559717;9,559874
2;10,710238;10,710253
3;8,87858;8,881143
4;6,623875;6,623946
0;10,049757;10,050079
